split,image,most_similar_train_image,similarity
valid,gss548_jpg.rf.b8e1c3b0ece41c9de7bbb8399ec05208.jpg,gss547_jpg.rf.488bdc640af5103ea62ceed2cad48c7a.jpg,0.9999
valid,gss291_jpg.rf.d74a1c329e940837eff672d38a509453.jpg,gss290_jpg.rf.9f50783fda1931cb7fe27ac1ecc13b43.jpg,0.9998
valid,gss552_jpg.rf.98ed8bc1075a903e12945f68231bec77.jpg,gss551_jpg.rf.46f013266b1ac68e31128451c93558b3.jpg,0.9997
valid,gss2_jpg.rf.9b26f00ff4be5beed06b9897e1357c8b.jpg,gss3_jpg.rf.9e67f28984dcb4ec8094e22cdb4cbd4a.jpg,0.9997
valid,gss949_jpg.rf.5b37bf74ccd545a43e05def6218f3913.jpg,gss950_jpg.rf.d9d222a923c3912f81911f13eaba04ad.jpg,0.9996
valid,gss1703_jpg.rf.672a987bf539bbde88291fce23f03e0e.jpg,gss1702_jpg.rf.e214f580d8b30da26765c2bbfc3436d5.jpg,0.9996
valid,gss1970_jpg.rf.4b7c6eddaaf958b839b6be081725082f.jpg,gss1971_jpg.rf.073198d5738f54e002f89ca9685e451e.jpg,0.9996
valid,gss1329_jpg.rf.9d81ebfef7f77d9cd41963569843236e.jpg,gss1330_jpg.rf.5c3e139b96d0ee465e909ca54dd0a61e.jpg,0.9995
valid,gss572_jpg.rf.6c729175bd23720c26042b9f994afc2e.jpg,gss571_jpg.rf.ef0f17d23b420800c940c8487b2be37d.jpg,0.9993
valid,gss2026_jpg.rf.100f52dada5103a26d9f5db98029d021.jpg,gss2025_jpg.rf.d5c037fcd76cd34f247e3a35ee3d5c74.jpg,0.9992
valid,gss48_jpg.rf.a18e27892e68f52cd334bfdf440da3e6.jpg,gss47_jpg.rf.9ba9f9e5b24b726065088571877bf9d2.jpg,0.9990
valid,gss2062_jpg.rf.a5649e3f72ceac7530af4271476b4e30.jpg,gss2061_jpg.rf.144e9aba4d76ea4d471483599870dae2.jpg,0.9990
valid,gss561_jpg.rf.12a4f25b54c05a238287a24ae178efc1.jpg,gss560_jpg.rf.181e2de9c7377980f89f24ad26ab0a00.jpg,0.9989
valid,gss1223_jpg.rf.a2d97fc5a9ad3505af47d0e8c71e7d51.jpg,gss1224_jpg.rf.b2dfc7dfea24cb91f7ea6f2c833e27ca.jpg,0.9989
valid,gss1231_jpg.rf.8113a35cac31dfdd7e80f8f6a9e49845.jpg,gss1230_jpg.rf.a450e7624373e7ffb709157ff45dd59b.jpg,0.9988
valid,gss563_jpg.rf.8b0c7dd7b92856c34a86844b85269f5c.jpg,gss564_jpg.rf.e14c3aba113d2b5eba4b7ba3fa60afec.jpg,0.9987
valid,gss602_jpg.rf.b399adf7f83d87e9f927d208e08faead.jpg,gss603_jpg.rf.ce7506eabaac7618467a636b9bb96f9d.jpg,0.9986
valid,gss2011_jpg.rf.4e86396b258cd216f7844133d28dac8c.jpg,gss2010_jpg.rf.9473610d79f01179fd4866b164bfaa26.jpg,0.9986
valid,gss1_jpg.rf.b2b399d62cc5bf0ee50c8ee6c1b8684c.jpg,gss3_jpg.rf.9e67f28984dcb4ec8094e22cdb4cbd4a.jpg,0.9986
valid,gss367_jpg.rf.031ea0c610a32d132aed40b4f1c37250.jpg,gss366_jpg.rf.e51719339996505e0948b4bdda9bee76.jpg,0.9985
valid,gss1217_jpg.rf.d8c83bdaa099477dc9a79928a7a0e0a4.jpg,gss1216_jpg.rf.e8efe8c11e1da1be664ccc74e545009e.jpg,0.9985
valid,gss1207_jpg.rf.ca3a24e0bd14c2a995e0f94cf1bf0eed.jpg,gss1206_jpg.rf.9b02fd5eb5552ec08e9a9d39a13e1678.jpg,0.9984
valid,gss2001_jpg.rf.0cb8e1ad76a62bc2f9fcdba40970aaa6.jpg,gss2002_jpg.rf.472e50d179eab03bd2de5b7078d9a6d1.jpg,0.9984
valid,gss1187_jpg.rf.4a0263a9a101e7ec4553240267612e66.jpg,gss1186_jpg.rf.af4d74f313c075adca88b466877fbb4f.jpg,0.9983
valid,gss1214_jpg.rf.df45aa5b04896e33a26590be3c11654f.jpg,gss1213_jpg.rf.8e7ce0372e708d2f3a15f433164b3eca.jpg,0.9982
test,gss1123_jpg.rf.8d669467b9d87e443355df97137b125a.jpg,gss1122_jpg.rf.9bc9f122873dc2837eb85a39fe2dda9d.jpg,0.9999
test,gss1966_jpg.rf.4e6b64bce7a1f658df47d6e162092aaa.jpg,gss1967_jpg.rf.68136765c8a0193a3b5f69aa7579723d.jpg,0.9999
test,gss1969_jpg.rf.36e30a72fbac4770cc8758f92ba1fe27.jpg,gss1968_jpg.rf.07b19040fd76aacb960f3ca388744674.jpg,0.9998
test,gss951_jpg.rf.b944063806db92ac8d782256f4086e38.jpg,gss952_jpg.rf.66a72b92514f7e52a8e1e1983972d11c.jpg,0.9997
test,gss2042_jpg.rf.14b01cd67002e3757e002e88c0155ad0.jpg,gss2043_jpg.rf.c8fcbac9dc2e49b82f279374ade09f91.jpg,0.9996
test,gss967_jpg.rf.49522cd6b38d9283729fb5a6f2bb3f05.jpg,gss966_jpg.rf.4fd5755d0754e75d61fcdcc85b1538c8.jpg,0.9993
