epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,389.574,2.44549,2.96718,0.00379,0.28777,0.17788,0.10567,0.05313,2.25955,2.04466,0.00431,0.00999536,0.00333179,0.00999536,0.00333179,0.00999536,0.00333179,0.00999536,0.00333179
2,751.401,2.38718,2.14302,0.00342,0.23823,0.20596,0.13979,0.07306,2.22973,1.90911,0.00416,0.0197974,0.00659914,0.0197974,0.00659914,0.0197974,0.00659914,0.0197974,0.00659914
3,1107.42,2.37207,2.02258,0.00339,0.27923,0.21645,0.16257,0.08565,2.21222,1.83158,0.00418,0.0294015,0.00980049,0.0294015,0.00980049,0.0294015,0.00980049,0.0294015,0.00980049
4,1461.76,2.37442,1.94404,0.00335,0.29151,0.23927,0.1859,0.09675,2.18283,1.73444,0.00415,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1815.43,2.33383,1.86448,0.00329,0.31453,0.24555,0.19313,0.10256,2.17075,1.70514,0.00405,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2170.29,2.32544,1.82206,0.00327,0.32152,0.25668,0.20334,0.10794,2.15679,1.68507,0.00405,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2749.81,2.30808,1.79989,0.00322,0.34589,0.25202,0.21181,0.11144,2.15313,1.67961,0.00404,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3139.49,2.3018,1.76266,0.00316,0.33577,0.26681,0.21403,0.11274,2.15324,1.6584,0.00396,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3526.05,2.27558,1.73608,0.00313,0.35007,0.26116,0.22006,0.11746,2.11875,1.6435,0.00391,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4168.78,2.28517,1.73219,0.00311,0.3494,0.26739,0.2231,0.11935,2.12336,1.64059,0.00401,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4559.08,2.26519,1.71007,0.0031,0.34724,0.27204,0.22184,0.1177,2.11396,1.63891,0.0039,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4972.03,2.24132,1.69703,0.00308,0.36411,0.27997,0.23827,0.12755,2.10001,1.59243,0.0039,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5341.67,2.23598,1.68236,0.00307,0.35882,0.27883,0.2346,0.12363,2.10759,1.6132,0.00386,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5694.12,2.23452,1.67672,0.00302,0.37411,0.28998,0.24734,0.13198,2.08561,1.57764,0.00383,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6041.71,2.23205,1.6626,0.00301,0.37411,0.28433,0.2448,0.13155,2.07428,1.56075,0.00382,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,7148.88,2.22017,1.64671,0.003,0.36376,0.29113,0.24638,0.1326,2.08078,1.5722,0.00377,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7532.98,2.22667,1.64304,0.003,0.37014,0.29308,0.24936,0.13401,2.0711,1.56689,0.00376,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7917.38,2.21875,1.63082,0.00296,0.36791,0.29209,0.25006,0.13444,2.05821,1.56397,0.00378,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8300.88,2.20265,1.61836,0.00297,0.37743,0.30047,0.25642,0.13839,2.06129,1.54779,0.00379,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
